Time,FaceID,Status,Score
0.5,0,Distracted,99
0.83,0,Attentive,99
0.94,0,Attentive,99
1.05,0,Attentive,99
1.16,0,Attentive,99
1.28,0,Attentive,99
1.41,0,Attentive,99
1.54,0,Attentive,99
1.66,0,Attentive,99
1.78,0,Attentive,99
1.89,0,Attentive,99
2.01,0,Attentive,99
2.13,0,Attentive,99
2.25,0,Attentive,99
2.36,0,Attentive,99
2.48,0,Attentive,99
2.61,0,Attentive,99
2.73,0,Attentive,99
2.83,0,Attentive,99
2.92,0,Attentive,99
3.02,0,Attentive,99
3.11,0,Attentive,99
3.2,0,Attentive,99
3.29,0,Attentive,99
3.38,0,Attentive,99
3.48,0,Attentive,99
3.57,0,Attentive,99
3.67,0,Attentive,99
3.85,0,Attentive,99
3.98,0,Attentive,99
4.11,0,Attentive,99
4.23,0,Attentive,99
4.35,0,Attentive,99
4.48,0,Attentive,99
4.61,0,Attentive,99
4.73,0,Attentive,99
4.86,0,Attentive,99
4.98,0,Attentive,99
5.1,0,Attentive,99
5.23,0,Attentive,99
5.36,0,Attentive,99
5.48,0,Attentive,99
5.6,0,Attentive,99
5.72,0,Attentive,99
5.84,0,Attentive,99
5.96,0,Attentive,99
6.08,0,Attentive,99
6.2,0,Attentive,99
6.32,0,Attentive,99
6.45,0,Attentive,99
6.58,0,Attentive,99
6.71,0,Attentive,99
6.84,0,Attentive,99
6.96,0,Attentive,99
7.08,0,Attentive,99
7.17,0,Attentive,99
7.27,0,Attentive,99
7.36,0,Attentive,99
7.46,0,Attentive,99
7.55,0,Attentive,99
7.66,0,Attentive,99
7.8,0,Attentive,99
7.92,0,Attentive,99
8.02,0,Attentive,99
8.11,0,Attentive,99
8.21,0,Attentive,99
8.3,0,Attentive,99
8.39,0,Attentive,99
8.48,0,Attentive,99
8.57,0,Attentive,99
8.67,0,Attentive,99
8.77,0,Attentive,99
8.9,0,Attentive,99
9.03,0,Attentive,99
9.14,0,Attentive,99
9.23,0,Attentive,99
9.32,0,Distracted,98
9.41,0,Distracted,97
9.5,0,Distracted,96
9.6,0,Distracted,95
9.69,0,Distracted,94
9.79,0,Distracted,93
9.88,0,Distracted,92
9.97,0,Distracted,91
10.07,0,Distracted,90
10.21,0,Distracted,89
10.33,0,Distracted,88
10.42,0,Distracted,87
10.51,0,Distracted,86
10.61,0,Distracted,85
10.7,0,Distracted,84
10.79,0,Distracted,83
10.88,0,Distracted,82
10.97,0,Distracted,81
11.19,0,Distracted,80
11.29,0,Distracted,79
11.42,0,Distracted,78
11.54,0,Distracted,77
11.63,0,Distracted,76
11.72,0,Distracted,75
11.82,0,Distracted,74
11.91,0,Distracted,73
12.0,0,Distracted,72
12.09,0,Distracted,71
12.18,0,Distracted,70
12.28,0,Distracted,69
12.38,0,Distracted,68
12.49,0,Distracted,67
12.62,0,Distracted,66
12.74,0,Distracted,65
12.84,0,Distracted,64
12.94,0,Distracted,63
13.03,0,Distracted,62
13.12,0,Distracted,61
13.21,0,Distracted,60
13.31,0,Distracted,59
13.4,0,Distracted,58
13.49,0,Distracted,57
13.59,0,Distracted,56
13.68,0,Distracted,55
13.79,0,Distracted,54
13.92,0,Distracted,53
14.03,0,Distracted,52
14.16,0,Distracted,51
14.28,0,Distracted,50
14.37,0,Distracted,49
14.46,0,Attentive,49
14.55,0,Attentive,49
14.65,0,Attentive,49
14.74,0,Attentive,49
14.83,0,Attentive,49
14.92,0,Attentive,49
15.05,0,Attentive,49
15.17,0,Attentive,49
15.27,0,Distracted,48
15.36,0,Distracted,47
15.81,0,Distracted,46
15.9,0,Attentive,46
15.99,0,Attentive,46
16.08,0,Attentive,46
16.18,0,Attentive,46
16.31,0,Attentive,46
16.43,0,Attentive,46
16.52,0,Attentive,46
16.61,0,Attentive,46
16.71,0,Attentive,46
17.66,0,Attentive,46
17.76,0,Attentive,46
17.85,0,Attentive,46
17.94,0,Attentive,46
18.03,0,Attentive,46
18.13,0,Attentive,46
18.23,0,Attentive,46
18.23,1,Attentive,100
18.32,0,Attentive,46
18.32,1,Attentive,100
18.41,0,Attentive,46
18.41,1,Attentive,100
18.51,0,Attentive,46
18.51,1,Attentive,100
18.6,0,Attentive,46
18.6,1,Attentive,100
18.71,0,Attentive,46
18.71,1,Attentive,100
18.84,0,Attentive,46
18.84,1,Attentive,100
18.95,0,Attentive,46
18.95,1,Attentive,100
19.05,0,Attentive,46
19.05,1,Attentive,100
19.15,0,Attentive,46
19.15,1,Attentive,100
19.37,0,Attentive,46
19.37,1,Attentive,100
19.47,0,Attentive,46
19.47,1,Attentive,100
19.56,0,Attentive,46
19.56,1,Attentive,100
19.66,0,Attentive,46
19.66,1,Attentive,100
19.75,0,Attentive,46
19.75,1,Attentive,100
19.85,0,Attentive,46
19.85,1,Attentive,100
19.98,0,Attentive,46
19.98,1,Attentive,100
20.11,0,Attentive,46
20.11,1,Attentive,100
20.2,0,Attentive,46
20.21,1,Attentive,100
20.3,0,Attentive,46
20.3,1,Attentive,100
20.39,0,Attentive,46
20.39,1,Attentive,100
20.49,0,Attentive,46
20.49,1,Attentive,100
20.58,0,Attentive,46
20.58,1,Attentive,100
20.68,0,Attentive,46
20.68,1,Attentive,100
20.77,0,Attentive,46
20.78,1,Attentive,100
20.87,0,Attentive,46
20.87,1,Attentive,100
20.97,0,Attentive,46
20.97,1,Attentive,100
21.07,0,Attentive,46
21.07,1,Attentive,100
21.2,0,Attentive,46
21.2,1,Attentive,100
21.33,0,Attentive,46
21.33,1,Attentive,100
21.45,0,Attentive,46
21.45,1,Attentive,100
21.55,0,Attentive,46
21.55,1,Attentive,100
21.66,0,Attentive,46
21.66,1,Attentive,100
21.76,0,Attentive,46
21.76,1,Attentive,100
21.87,0,Attentive,46
21.87,1,Attentive,100
22.12,0,Attentive,46
22.12,1,Attentive,100
22.23,0,Attentive,46
22.23,1,Attentive,100
22.35,0,Attentive,46
22.35,1,Attentive,100
22.5,0,Attentive,46
22.5,1,Attentive,100
22.62,0,Attentive,46
22.62,1,Distracted,99
22.73,0,Attentive,46
22.73,1,Distracted,98
22.83,0,Attentive,46
22.94,0,Attentive,46
23.05,0,Attentive,46
23.16,0,Attentive,46
23.28,0,Attentive,46
23.4,0,Attentive,46
23.52,0,Attentive,46
23.67,0,Attentive,46
23.81,0,Attentive,46
23.92,0,Attentive,46
24.03,0,Attentive,46
24.16,0,Attentive,46
24.27,0,Attentive,46
24.38,0,Attentive,46
24.5,0,Attentive,46
24.62,0,Attentive,46
24.74,0,Attentive,46
24.74,1,Attentive,98
24.9,0,Attentive,46
24.9,1,Attentive,98
25.04,0,Attentive,46
25.04,1,Attentive,98
25.17,0,Attentive,46
25.17,1,Attentive,98
25.28,0,Attentive,46
25.28,1,Attentive,98
25.39,0,Attentive,46
25.39,1,Attentive,98
25.52,0,Attentive,46
25.52,1,Attentive,98
25.63,0,Attentive,46
25.63,1,Attentive,98
25.75,0,Attentive,46
25.75,1,Attentive,98
25.86,0,Attentive,46
25.86,1,Attentive,98
25.97,0,Attentive,46
25.97,1,Attentive,98
26.09,0,Attentive,46
26.09,1,Attentive,98
26.23,0,Attentive,46
26.23,1,Attentive,98
26.37,0,Attentive,46
26.37,1,Attentive,98
26.49,0,Attentive,46
26.49,1,Attentive,98
26.61,0,Attentive,46
26.61,1,Attentive,98
26.85,0,Attentive,46
26.85,1,Attentive,98
26.95,0,Attentive,46
26.95,1,Attentive,98
27.05,0,Attentive,46
27.05,1,Attentive,98
27.16,0,Attentive,46
27.16,1,Attentive,98
27.27,0,Attentive,46
27.27,1,Attentive,98
27.38,0,Attentive,46
27.38,1,Attentive,98
27.54,0,Attentive,46
27.54,1,Attentive,98
27.69,0,Attentive,46
27.69,1,Attentive,98
27.8,0,Attentive,46
27.8,1,Attentive,98
27.92,0,Attentive,46
27.92,1,Attentive,98
28.02,0,Attentive,46
28.02,1,Attentive,98
28.13,0,Attentive,46
28.13,1,Attentive,98
28.23,0,Attentive,46
28.23,1,Attentive,98
28.35,0,Attentive,46
28.35,1,Attentive,98
28.47,0,Attentive,46
28.47,1,Attentive,98
28.58,0,Attentive,46
28.58,1,Attentive,98
28.7,0,Attentive,46
28.71,1,Attentive,98
28.84,0,Attentive,46
28.97,0,Attentive,46
29.08,0,Attentive,46
29.18,0,Attentive,46
29.28,0,Attentive,46
29.39,0,Attentive,46
29.49,0,Attentive,46
29.6,0,Attentive,46
29.72,0,Attentive,46
29.83,0,Attentive,46
29.97,0,Attentive,46
30.12,0,Attentive,46
30.23,0,Attentive,46
30.34,0,Attentive,46
30.59,0,Attentive,46
30.7,0,Attentive,46
30.81,0,Attentive,46
30.91,0,Attentive,46
31.01,0,Attentive,46
31.14,0,Attentive,46
31.27,0,Attentive,46
31.38,0,Attentive,46
31.49,0,Attentive,46
31.59,0,Attentive,46
31.7,0,Attentive,46
31.8,0,Attentive,46
31.91,0,Attentive,46
32.02,0,Attentive,46
32.13,0,Attentive,46
32.25,0,Attentive,46
32.53,0,Attentive,46
32.63,0,Attentive,46
32.73,0,Attentive,46
32.84,0,Attentive,46
32.94,0,Attentive,46
33.05,0,Attentive,46
33.16,0,Attentive,46
33.26,0,Attentive,46
33.37,0,Attentive,46
33.48,0,Attentive,46
33.63,0,Attentive,46
33.76,0,Attentive,46
33.86,0,Attentive,46
33.97,0,Attentive,46
34.09,0,Attentive,46
34.21,0,Attentive,46
34.32,0,Attentive,46
34.43,0,Attentive,46
34.64,0,Attentive,46
34.75,0,Attentive,46
34.9,0,Attentive,46
34.9,1,Attentive,98
35.13,0,Attentive,46
35.24,0,Attentive,46
35.34,0,Attentive,46
35.44,0,Attentive,46
35.55,0,Attentive,46
35.68,0,Attentive,46
35.81,0,Attentive,46
35.91,0,Attentive,46
36.04,0,Attentive,46
36.18,0,Attentive,46
36.31,0,Attentive,46
36.41,0,Attentive,46
36.51,0,Attentive,46
36.62,0,Attentive,46
36.72,0,Attentive,46
36.84,0,Attentive,46
36.94,0,Attentive,46
37.05,0,Attentive,46
37.16,0,Attentive,46
37.27,0,Attentive,46
37.42,0,Attentive,46
37.56,0,Attentive,46
37.68,0,Attentive,46
37.78,0,Attentive,46
37.88,0,Attentive,46
37.98,0,Attentive,46
38.08,0,Attentive,46
38.18,0,Attentive,46
38.29,0,Attentive,46
38.41,0,Attentive,46
38.52,0,Attentive,46
38.67,0,Attentive,46
38.81,0,Distracted,45
38.92,0,Distracted,44
39.02,0,Distracted,43
39.12,0,Distracted,42
39.22,0,Distracted,41
39.33,0,Distracted,40
39.45,0,Distracted,39
39.56,0,Distracted,38
39.67,0,Distracted,37
39.78,0,Distracted,36
39.92,0,Distracted,35
40.05,0,Distracted,34
40.15,0,Distracted,33
40.25,0,Using Phone,29
40.35,0,Distracted,28
40.46,0,Distracted,27
40.56,0,Distracted,26
40.67,0,Distracted,25
40.79,0,Distracted,24
40.9,0,Distracted,23
41.06,0,Distracted,22
41.2,0,Distracted,21
41.32,0,Distracted,20
41.43,0,Distracted,19
41.53,0,Distracted,18
41.64,0,Distracted,17
41.74,0,Distracted,16
41.84,0,Distracted,15
41.95,0,Distracted,14
42.06,0,Distracted,13
42.16,0,Distracted,12
42.29,0,Distracted,11
42.43,0,Distracted,10
42.57,0,Attentive,10
42.68,0,Attentive,10
42.91,0,Distracted,9
43.0,0,Distracted,8
43.11,0,Attentive,8
43.21,0,Attentive,8
43.31,0,Distracted,7
43.41,0,Attentive,7
43.52,0,Attentive,7
43.67,0,Attentive,7
43.8,0,Attentive,7
43.91,0,Attentive,7
44.01,0,Attentive,7
44.12,0,Attentive,7
44.22,0,Distracted,6
44.33,0,Attentive,6
44.45,0,Distracted,5
44.56,0,Distracted,4
44.66,0,Distracted,3
44.78,0,Distracted,2
44.92,0,Distracted,1
45.04,0,Distracted,0
45.16,0,Distracted,0
45.27,0,Distracted,0
45.38,0,Distracted,0
45.48,0,Distracted,0
45.58,0,Distracted,0
45.68,0,Distracted,0
45.79,0,Distracted,0
45.88,0,Distracted,0
46.01,0,Distracted,0
46.15,0,Attentive,0
46.27,0,Attentive,0
46.38,0,Attentive,0
46.48,0,Attentive,0
46.59,0,Attentive,0
46.69,0,Attentive,0
46.8,0,Attentive,0
46.9,0,Attentive,0
47.0,0,Attentive,0
47.11,0,Attentive,0
47.22,0,Attentive,0
47.37,0,Attentive,0
47.5,0,Attentive,0
47.6,0,Attentive,0
47.71,0,Attentive,0
47.81,0,Attentive,0
47.92,0,Attentive,0
48.03,0,Attentive,0
48.13,0,Attentive,0
48.24,0,Attentive,0
48.34,0,Attentive,0
48.45,0,Attentive,0
48.6,0,Attentive,0
48.75,0,Attentive,0
48.87,0,Attentive,0
48.97,0,Attentive,0
51.21,0,Attentive,0
51.32,0,Attentive,0
51.43,0,Attentive,0
51.53,0,Attentive,0
51.64,0,Attentive,0
51.74,0,Attentive,0
51.85,0,Attentive,0
51.95,0,Attentive,0
52.06,0,Attentive,0
52.16,0,Attentive,0
52.29,0,Attentive,0
52.43,0,Attentive,0
52.55,0,Attentive,0
52.66,0,Attentive,0
52.77,0,Attentive,0
52.87,0,Attentive,0
52.97,0,Attentive,0
53.08,0,Attentive,0
53.18,0,Attentive,0
53.29,0,Attentive,0
53.4,0,Attentive,0
53.54,0,Attentive,0
53.69,0,Attentive,0
53.81,0,Attentive,0
53.92,0,Attentive,0
54.02,0,Attentive,0
54.12,0,Attentive,0
54.22,0,Attentive,0
54.32,0,Attentive,0
54.42,0,Attentive,0
54.53,0,Attentive,0
54.64,0,Attentive,0
54.78,0,Attentive,0
54.93,0,Attentive,0
55.05,0,Attentive,0
55.16,0,Attentive,0
55.26,0,Attentive,0
55.5,0,Attentive,0
55.6,0,Attentive,0
55.7,0,Attentive,0
55.8,0,Attentive,0
55.9,0,Attentive,0
56.02,0,Attentive,0
56.16,0,Attentive,0
56.28,0,Attentive,0
56.39,0,Attentive,0
56.49,0,Attentive,0
56.6,0,Attentive,0
56.71,0,Attentive,0
56.82,0,Attentive,0
56.93,0,Attentive,0
57.03,0,Attentive,0
57.15,0,Attentive,0
57.29,0,Attentive,0
57.44,0,Attentive,0
57.55,0,Attentive,0
57.66,0,Attentive,0
57.76,0,Attentive,0
57.86,0,Attentive,0
57.96,0,Attentive,0
58.1,0,Attentive,0
58.1,1,Attentive,98
58.2,0,Attentive,0
58.21,1,Attentive,98
58.31,0,Attentive,0
58.31,1,Attentive,98
58.44,0,Attentive,0
58.44,1,Attentive,98
58.58,0,Attentive,0
58.59,1,Attentive,98
58.72,0,Attentive,0
58.72,1,Attentive,98
58.92,0,Distracted,0
59.03,0,Distracted,0
59.14,0,Distracted,0
59.24,0,Distracted,0
59.34,0,Distracted,0
59.45,0,Distracted,0
59.56,0,Distracted,0
59.68,0,Distracted,0
59.82,0,Distracted,0
59.96,0,Attentive,0
60.09,0,Attentive,0
60.22,0,Attentive,0
60.34,0,Attentive,0
60.45,0,Attentive,0
60.67,0,Attentive,0
60.78,0,Attentive,0
60.91,0,Attentive,0
60.91,1,Attentive,98
61.05,0,Attentive,0
61.05,1,Attentive,98
61.17,0,Attentive,0
61.17,1,Attentive,98
61.28,0,Attentive,0
61.39,0,Attentive,0
61.5,0,Attentive,0
61.62,0,Attentive,0
61.73,0,Attentive,0
61.83,0,Attentive,0
61.93,0,Attentive,0
62.03,0,Attentive,0
62.15,0,Attentive,0
62.29,0,Attentive,0
62.4,0,Attentive,0
62.51,0,Attentive,0
62.61,0,Attentive,0
62.72,0,Attentive,0
62.82,0,Attentive,0
62.93,0,Attentive,0
63.03,0,Attentive,0
63.14,0,Attentive,0
63.25,0,Attentive,0
63.41,0,Attentive,0
63.56,0,Attentive,0
63.69,0,Attentive,0
63.96,0,Attentive,0
64.06,0,Attentive,0
64.17,0,Attentive,0
64.28,0,Attentive,0
